version,platform_version,round,episode_id,engine_version,era,declared_wire,declared_sim,formed,partners_named,kickoff_present,tags,jointact,win,rank,score,score_ratio,decode_ok
v44_baseline,43,4504,353ae1b1-57f3-4cf3-b6c2-0e9136ef3282,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,15,n/a_not_exported,0.2,n/a_not_tracked
v44_baseline,43,4504,1a9204b1-df14-4186-98ef-2d48004db875,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,4,n/a_not_exported,48.0,n/a_not_tracked
v44_baseline,43,4504,0866da0b-fd64-4f0a-9091-4760d91db15a,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,7,n/a_not_exported,1.0,n/a_not_tracked
v44_baseline,43,4504,45ae3693-1494-46f7-9694-02b9420c65b6,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.1176,n/a_not_tracked
v44_baseline,43,4504,e77197d2-2935-4c30-ab31-34f2b9c6ce3b,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,14,n/a_not_exported,0.1333,n/a_not_tracked
v44_baseline,43,4504,521f7b5b-87fa-4f99-9475-dccdce96298a,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,2,n/a_not_exported,38.4,n/a_not_tracked
v44_baseline,43,4504,92e257ab-d51e-4c27-addb-c0d10da9d771,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.2222,n/a_not_tracked
v44_baseline,43,4505,b7a97178-dc29-4745-8266-e690a02f7b54,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,8,n/a_not_exported,1.2,n/a_not_tracked
v44_baseline,43,4504,3d63ac35-f985-48e8-8a5e-22b77d8569a1,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,10,n/a_not_exported,0.4,n/a_not_tracked
v44_baseline,43,4505,79d839fa-e520-4c69-80d9-fe61e73edcf0,0.7.357,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,9,n/a_not_exported,0.6667,n/a_not_tracked
v44_baseline,43,4504,6dccf5e0-3d28-41b7-a9b9-38ec5261ee02,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,True,2,n/a_not_exported,213.3333,n/a_not_tracked
v44_baseline,43,4504,d22dea38-7829-4c39-897b-57264591866b,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,7,n/a_not_exported,6.0,n/a_not_tracked
v44_baseline,43,4505,be84d06d-59c7-4eb7-89c9-8c5ada4cbc5c,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,3,n/a_not_exported,12.0,n/a_not_tracked
v44_baseline,43,4505,705cada5-7a1d-4931-a296-52ad9bed0399,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,7,n/a_not_exported,1.0588,n/a_not_tracked
v44_baseline,43,4505,018ff1fa-60fe-4cd6-b7ab-75b6e3695f2b,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,14,n/a_not_exported,0.0556,n/a_not_tracked
v44_baseline,43,4505,5d1baa55-0bfb-4537-b645-099cb734ae21,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,5,n/a_not_exported,7.2,n/a_not_tracked
v44_baseline,43,4505,989914cf-f767-450b-945b-056c1cdca94a,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,8,n/a_not_exported,1.0,n/a_not_tracked
v44_baseline,43,4505,fd9e4a11-5080-401a-accf-599a9e6f9f08,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,12,n/a_not_exported,0.2222,n/a_not_tracked
v44_baseline,43,4505,f08b19b5-cdde-4a51-8eac-8c5facc21220,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,12,n/a_not_exported,0.2222,n/a_not_tracked
v44_baseline,43,4505,4be1db48-2d79-4f6d-a69d-656ef00a1006,0.7.357,pre-GV15,True,n/a_pre_gv15,True,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,True,1,n/a_not_exported,512.0,n/a_not_tracked
v44_baseline,43,4505,8d90bb37-87ab-497d-9bdb-07e92d044bdd,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,3,n/a_not_exported,192.0,n/a_not_tracked
v44_baseline,43,4505,f0974fbd-66d0-4926-89dd-2804148bebe5,0.7.357,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,1,n/a_not_exported,192.0,n/a_not_tracked
v44_baseline,43,4506,5b0cc16c-70df-4568-a81f-473c587ff863,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,9,n/a_not_exported,0.8571,n/a_not_tracked
v44_baseline,43,4506,1b652c7b-ff6e-41ac-891e-fc3a7cb2d0b6,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,7,n/a_not_exported,1.5,n/a_not_tracked
v44_baseline,43,4506,73d86728-8a59-480f-a026-c8fbd3976849,0.7.357,pre-GV15,True,n/a_pre_gv15,True,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,3,n/a_not_exported,9.8182,n/a_not_tracked
